Package,LibPath,Version,Priority,Built
utf8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.3,NA,3.4.3
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
viridis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.1,NA,3.4.3
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
webshot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.3
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.1,NA,3.4.3
wordcloud,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.5,NA,3.4.0
xfun,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.3
xlsx,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.7,NA,3.4.0
xlsxjars,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1,NA,3.4.0
XML,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.98-1.9,NA,3.4.1
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
xtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-2,NA,3.4.0
xts,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10-1,NA,3.4.3
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.16,NA,3.4.3
zoo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-1,NA,3.4.3
